User Name,Problem Count,General Ranking,Reputation,Contest Rating,Contest Attended,Global Ranking
Akazh_krishnan,115,1123077,0,,,
ananthkishore11,122,1065815,0,1429.8865669652034,2,522626
AkhshayTP,101,1254108,0,,,
user1472ch,100,1266011,0,,,
Anushiya_01,480,169139,0,1425.4418702267221,23,534817
akshaypree007,7,5000001,0,1352.876,2,683678
ANTO_SHREYA,130,1005908,0,1366.398,2,669097
AravinendhR,171,763323,0,1318.1346108235298,12,705718
aneash,122,1065813,0,1461.019,1,423349
ANGURAKANISA,111,1157509,0,1362.6386652716142,3,672740
Ashiq17,335,317975,0,1427.71,4,528817
asathasath435,70,1653667,0,,,
user3903wV,164,798109,0,,,
AnishaDharshini,245,503848,0,1400.385,6,626758
AshJay009,73,1604588,0,,,
aravinthanvijayakumar5,48,2132816,0,,,
ashiyaparveen,206,620078,0,1696.6784822630334,8,95033
arunrajasekaran1209,131,999119,0,1303.0037661076417,9,712422
Ashwin-M,161,812972,0,,,
Barath1234S,90,1373933,0,,,
aswinsuriya,174,749421,2,,,
user8937cr,133,984614,0,1461.985885497043,5,420401
Benny03,142,924964,0,1354.55,2,681026
balachandarb,439,199744,0,1534.734150745134,57,252672
Bavanetha27,427,210472,0,1675.0206957447776,12,107567
boobalan_rs,107,1194498,0,1424.836,2,536351
XpL0itX,318,350234,0,1538.979,1,245769
darsanv_27,52,2021118,0,1524.4918622468647,2,270376
Barath_kumar_R,66,1722275,0,,,
BOOPATHI_V,520,142418,0,1552.1578125647486,49,225675
Dharanya_S,125,1050366,0,1420.775,2,546464
dharshan19122005,165,793311,0,,,
DeekshithaMariyappan,154,851957,0,1289.3488630948102,9,716717
danushsiddarth,78,1528484,0,,,
dharanisham,106,1204097,0,,,
iam_elango,78,1528388,0,,,
guruvishal,513,146750,0,1478.074680201032,19,374681
Divakarravi,234,528997,8,1341.4553999306809,4,693168
dhiviya_c,193,677001,0,1509.4160206245197,17,299260
Elavarasan_P,97,1296912,0,,,
GeethapriyanS,522,140681,0,1532.1954390069297,51,257002
harshini_74,149,882814,0,1410.318017487093,4,609865
harishkumar20,180,727153,0,1372.24,5,662758
Ganga_sree,142,924986,0,1659.4502844945605,20,117700
HariDharsaun,470,175828,1,1293.7828588787631,27,715466
Hemavathy123,229,543794,0,1379.296,2,654558
Hemavarna_Sundar,75,1576903,60,1499.6193968929974,5,321681
hejoshi77,284,407248,0,1565.073,7,207656
Ishansingh7,211,602240,0,1570.529,2,200615
Hemma_lekha,80,1500304,0,1519.656,2,279357
kaarthikasekar,149,882839,0,,,
JoannaSharonD,330,327398,0,1545.420904687466,14,235744
jayasuryam,133,984668,0,1399.5492485341115,4,627953
vijayaww,152,863426,0,1444.3473815917969,1,476601
Guruvel,117,1106971,0,,,
Kajini_Periyasamy_K,91,1362326,0,1352.7529339253422,5,683880
KRISHNAPRATHAP_G12,75,1575645,0,,,
Ajalesh,63,1779616,0,,,
Boobalank,89,1386938,0,,,
RANA15,73,1606330,0,,,
Arjun655_PVN,0,5000001,0,,,
Jeya__007,100,1266038,0,,,
vicky_07_,169,773565,0,1562.8745195565966,5,210616
karthickgr__08,232,534769,0,1348.0,3,689005
